competencia,canal,categoria,descricao,valor,observacao
2026-01-01,comum,assinaturas,Avantpro,45.0,
2026-01-01,comum,assinaturas,Canva,35.0,
2026-02-01,comum,assinaturas,Avantpro,45.0,
2026-02-01,comum,assinaturas,Canva,35.0,
2026-03-01,comum,assinaturas,Avantpro,45.0,
2026-03-01,comum,assinaturas,Canva,35.0,
2026-03-01,shopee,agencia_marketing,Agencia de marketing,997.0,
2026-03-01,shopee,midia_manual,Shopee Ads,204.87,
2026-04-01,comum,assinaturas,Avantpro,45.0,
2026-04-01,comum,assinaturas,Canva,35.0,
2026-04-01,shopee,agencia_marketing,Agencia de marketing,997.0,
2026-04-01,shopee,midia_manual,Shopee Ads,0.0,verificado: sem veiculacao no mes
2026-05-01,comum,assinaturas,Avantpro,45.0,
2026-05-01,comum,assinaturas,Canva,35.0,
2026-05-01,shopee,agencia_marketing,Agencia de marketing,997.0,
2026-05-01,shopee,midia_manual,Shopee Ads,0.0,verificado: sem veiculacao no mes
2026-06-01,comum,assinaturas,Avantpro,45.0,
2026-06-01,comum,assinaturas,Canva,35.0,
2026-06-01,shopee,agencia_marketing,Agencia de marketing,997.0,
2026-06-01,shopee,midia_manual,Shopee Ads,271.2,
2026-07-01,comum,assinaturas,Avantpro,45.0,
2026-07-01,comum,assinaturas,Canva,35.0,
2026-07-01,shopee,agencia_marketing,Agencia de marketing,997.0,
2026-07-01,shopee,midia_manual,Shopee Ads,839.18,
2026-08-01,comum,assinaturas,Avantpro,45.0,
2026-08-01,comum,assinaturas,Canva,35.0,
2026-08-01,comum,consultoria,Consultoria,1114.53,"rateio de contrato de 12 meses, total 13374.38"
2026-08-01,comum,pro_labore,Pro labore,10000.0,
2026-08-01,shopee,midia_manual,Shopee Ads,88.91,"parcial: 01 a 04/08, midia pausada desde entao"
2026-09-01,comum,consultoria,Consultoria,1114.53,"rateio de contrato de 12 meses, total 13374.38"
2026-10-01,comum,consultoria,Consultoria,1114.53,"rateio de contrato de 12 meses, total 13374.38"
2026-11-01,comum,consultoria,Consultoria,1114.53,"rateio de contrato de 12 meses, total 13374.38"
2026-12-01,comum,consultoria,Consultoria,1114.53,"rateio de contrato de 12 meses, total 13374.38"
2027-01-01,comum,consultoria,Consultoria,1114.53,"rateio de contrato de 12 meses, total 13374.38"
2027-02-01,comum,consultoria,Consultoria,1114.53,"rateio de contrato de 12 meses, total 13374.38"
2027-03-01,comum,consultoria,Consultoria,1114.53,"rateio de contrato de 12 meses, total 13374.38"
2027-04-01,comum,consultoria,Consultoria,1114.53,"rateio de contrato de 12 meses, total 13374.38"
2027-05-01,comum,consultoria,Consultoria,1114.53,"rateio de contrato de 12 meses, total 13374.38"
2027-06-01,comum,consultoria,Consultoria,1114.53,"rateio de contrato de 12 meses, total 13374.38"
2027-07-01,comum,consultoria,Consultoria,1114.55,"rateio de contrato de 12 meses, total 13374.38"
